States,Recovered,Death,Total Cases,Date,Latitude,Longitude,Active
Gujarat,11894,1092,17617,2020-06-03,22.2587,71.1924,4631
Haryana,1069,23,2652,2020-06-03,29.0588,76.0856,1560
Himachal Pradesh,140,5,345,2020-06-03,31.1048,77.1734,200
Jammu and Kashmir,953,33,2718,2020-06-03,33.7782,76.5762,1732
Jharkhand,320,5,712,2020-06-03,23.6102,85.2799,387
Karnataka,1403,52,3796,2020-06-03,15.3173,75.7139,2341
Kerala,627,11,1412,2020-06-03,10.8505,76.2711,774
Ladakh,47,1,81,2020-06-03,34.2996,78.2932,33
Madhya Pradesh,5221,364,8420,2020-06-03,22.9734,78.6569,2835
Maharashtra,31333,2465,72300,2020-06-03,19.7515,75.7139,38502
Manipur,14,0,89,2020-06-03,24.6637,93.9063,75
Meghalaya,12,1,27,2020-06-03,25.467,91.3662,14
Mizoram,1,0,13,2020-06-03,23.1645,92.9376,12
Nagaland,0,0,49,2020-06-03,26.1584,94.5624,49
Odisha,1325,7,2245,2020-06-03,20.9517,85.0985,913
Puducherry,25,0,82,2020-06-03,11.9416,79.8083,57
Punjab,2017,46,2342,2020-06-03,31.1471,75.3412,279
Rajasthan,6435,203,9373,2020-06-03,27.0238,74.2179,2735
Sikkim,0,0,1,2020-06-03,,,1
Tamil Nadu,13706,197,24586,2020-06-03,11.1271,78.6569,10683
Telengana,1526,92,2891,2020-06-03,18.1124,79.0193,1273
Tripura,173,0,468,2020-06-03,23.9408,91.9882,295
Uttar Pradesh,5030,222,8361,2020-06-03,26.8467,80.9462,3109
Uttarakhand,252,7,1043,2020-06-03,30.0668,79.0193,784
West Bengal,2410,335,6168,2020-06-03,22.9868,87.855,3423
Andaman and Nicobar Islands,33,0,33,2020-06-04,11.7401,92.6586,0
Andhra Pradesh,2421,64,3898,2020-06-04,15.9129,79.74,1413
Arunachal Pradesh,1,0,22,2020-06-04,28.218000000000004,94.7278,21
Assam,324,4,1513,2020-06-04,26.2006,92.9376,1185
Bihar,1946,24,4155,2020-06-04,25.0961,85.3131,2185
Chandigarh,214,5,301,2020-06-04,30.7333,76.7794,82
Chhattisgarh,130,1,564,2020-06-04,21.2787,81.8661,433
Dadar Nagar Haveli,1,0,4,2020-06-04,,,3
Delhi,9243,556,22132,2020-06-04,28.7041,77.1025,12333
Goa,57,0,79,2020-06-04,15.2993,74.124,22
Gujarat,11894,1092,17617,2020-06-04,22.2587,71.1924,4631
Haryana,1069,23,2652,2020-06-04,29.0588,76.0856,1560
Himachal Pradesh,140,5,345,2020-06-04,31.1048,77.1734,200
Jammu and Kashmir,953,33,2718,2020-06-04,33.7782,76.5762,1732
Jharkhand,320,5,712,2020-06-04,23.6102,85.2799,387
Karnataka,1403,52,3796,2020-06-04,15.3173,75.7139,2341
Kerala,627,11,1412,2020-06-04,10.8505,76.2711,774
Ladakh,47,1,81,2020-06-04,34.2996,78.2932,33
Madhya Pradesh,5221,364,8420,2020-06-04,22.9734,78.6569,2835
Maharashtra,31333,2465,72300,2020-06-04,19.7515,75.7139,38502
Manipur,14,0,89,2020-06-04,24.6637,93.9063,75
Meghalaya,12,1,27,2020-06-04,25.467,91.3662,14
Mizoram,1,0,13,2020-06-04,23.1645,92.9376,12
Nagaland,0,0,49,2020-06-04,26.1584,94.5624,49
Odisha,1325,7,2245,2020-06-04,20.9517,85.0985,913
Puducherry,25,0,82,2020-06-04,11.9416,79.8083,57
Punjab,2017,46,2342,2020-06-04,31.1471,75.3412,279
Rajasthan,6435,203,9373,2020-06-04,27.0238,74.2179,2735
Sikkim,0,0,1,2020-06-04,,,1
Tamil Nadu,13706,197,24586,2020-06-04,11.1271,78.6569,10683
Telengana,1526,92,2891,2020-06-04,18.1124,79.0193,1273
Tripura,173,0,468,2020-06-04,23.9408,91.9882,295
Uttar Pradesh,5030,222,8361,2020-06-04,26.8467,80.9462,3109
Uttarakhand,252,7,1043,2020-06-04,30.0668,79.0193,784
West Bengal,2410,335,6168,2020-06-04,22.9868,87.855,3423
Andaman and Nicobar Islands,33,0,33,2020-06-05,11.7401,92.6586,0
Andhra Pradesh,2539,71,4223,2020-06-05,15.9129,79.74,1613
Arunachal Pradesh,1,0,42,2020-06-05,28.218000000000004,94.7278,41
Assam,442,4,1988,2020-06-05,26.2006,92.9376,1542
Bihar,2210,29,4493,2020-06-05,25.0961,85.3131,2254
Chandigarh,214,5,301,2020-06-05,30.7333,76.7794,82
Chhattisgarh,213,2,756,2020-06-05,21.2787,81.8661,541
Dadar Nagar Haveli,1,0,12,2020-06-05,,,11
Delhi,9898,650,25004,2020-06-05,28.7041,77.1025,14456
Goa,57,0,166,2020-06-05,15.2993,74.124,109
Gujarat,12667,1155,18584,2020-06-05,22.2587,71.1924,4762
Haryana,2134,24,3281,2020-06-05,29.0588,76.0856,1123
Himachal Pradesh,179,5,383,2020-06-05,31.1048,77.1734,199
Jammu and Kashmir,1048,35,3142,2020-06-05,33.7782,76.5762,2059
Jharkhand,354,6,793,2020-06-05,23.6102,85.2799,433
Karnataka,1610,57,4320,2020-06-05,15.3173,75.7139,2653
Kerala,690,14,1588,2020-06-05,10.8505,76.2711,884
Ladakh,48,1,90,2020-06-05,34.2996,78.2932,41
Madhya Pradesh,5637,377,8762,2020-06-05,22.9734,78.6569,2748
Maharashtra,33681,2710,77793,2020-06-05,19.7515,75.7139,41402
Manipur,38,0,124,2020-06-05,24.6637,93.9063,86
Meghalaya,13,1,33,2020-06-05,25.467,91.3662,19
Mizoram,1,0,17,2020-06-05,23.1645,92.9376,16
Nagaland,0,0,80,2020-06-05,26.1584,94.5624,80
Odisha,1416,7,2478,2020-06-05,20.9517,85.0985,1055
Puducherry,25,0,82,2020-06-05,11.9416,79.8083,57
Punjab,2043,47,2415,2020-06-05,31.1471,75.3412,325
Rajasthan,7104,213,9862,2020-06-05,27.0238,74.2179,2545
Sikkim,0,0,2,2020-06-05,,,2
Tamil Nadu,14902,220,27256,2020-06-05,11.1271,78.6569,12134
Telengana,1587,105,3147,2020-06-05,18.1124,79.0193,1455
Tripura,173,0,644,2020-06-05,23.9408,91.9882,471
Uttar Pradesh,5439,245,9237,2020-06-05,26.8467,80.9462,3553
Uttarakhand,297,10,1153,2020-06-05,30.0668,79.0193,846
West Bengal,2768,355,6876,2020-06-05,22.9868,87.855,3753
Andaman and Nicobar Islands,33,0,33,2020-06-06,11.7401,92.6586,0
Andhra Pradesh,2576,73,4303,2020-06-06,15.9129,79.74,1654
Arunachal Pradesh,1,0,45,2020-06-06,28.218000000000004,94.7278,44
Assam,498,4,2153,2020-06-06,26.2006,92.9376,1651
Bihar,2225,29,4596,2020-06-06,25.0961,85.3131,2342
Chandigarh,222,5,304,2020-06-06,30.7333,76.7794,77
Chhattisgarh,244,2,879,2020-06-06,21.2787,81.8661,633
Dadar Nagar Haveli,1,0,14,2020-06-06,,,13
Delhi,10315,708,26334,2020-06-06,28.7041,77.1025,15311
Goa,65,0,196,2020-06-06,15.2993,74.124,131
Gujarat,13003,1190,19094,2020-06-06,22.2587,71.1924,4901
Haryana,2134,24,3597,2020-06-06,29.0588,76.0856,1439
Himachal Pradesh,189,5,393,2020-06-06,31.1048,77.1734,199
Jammu and Kashmir,1086,36,3324,2020-06-06,33.7782,76.5762,2202
Jharkhand,410,7,881,2020-06-06,23.6102,85.2799,464
Karnataka,1688,57,4835,2020-06-06,15.3173,75.7139,3090
Kerala,712,14,1699,2020-06-06,10.8505,76.2711,973
Ladakh,48,1,97,2020-06-06,34.2996,78.2932,48
Madhya Pradesh,5878,384,8996,2020-06-06,22.9734,78.6569,2734
Maharashtra,35156,2849,80229,2020-06-06,19.7515,75.7139,42224
Manipur,41,0,132,2020-06-06,24.6637,93.9063,91
Meghalaya,13,1,33,2020-06-06,25.467,91.3662,19
Mizoram,1,0,22,2020-06-06,23.1645,92.9376,21
Nagaland,0,0,94,2020-06-06,26.1584,94.5624,94
Odisha,1604,8,2608,2020-06-06,20.9517,85.0985,996
Puducherry,36,0,99,2020-06-06,11.9416,79.8083,63
Punjab,2069,48,2461,2020-06-06,31.1471,75.3412,344
Rajasthan,7359,218,10084,2020-06-06,27.0238,74.2179,2507
Sikkim,0,0,3,2020-06-06,,,3
Tamil Nadu,15762,232,28694,2020-06-06,11.1271,78.6569,12700
Telengana,1627,113,3290,2020-06-06,18.1124,79.0193,1550
Tripura,173,0,692,2020-06-06,23.9408,91.9882,519
Uttar Pradesh,5648,257,9733,2020-06-06,26.8467,80.9462,3828
Uttarakhand,344,11,1215,2020-06-06,30.0668,79.0193,860
West Bengal,2912,366,7303,2020-06-06,22.9868,87.855,4025
Andaman and Nicobar Islands,33,0,33,2020-06-07,11.7401,92.6586,0
Andhra Pradesh,2620,73,4510,2020-06-07,15.9129,79.74,1817
Arunachal Pradesh,1,0,47,2020-06-07,28.218000000000004,94.7278,46
Assam,547,4,2397,2020-06-07,26.2006,92.9376,1846
Bihar,2425,30,4915,2020-06-07,25.0961,85.3131,2460
Chandigarh,273,5,309,2020-06-07,30.7333,76.7794,31
Chhattisgarh,266,4,923,2020-06-07,21.2787,81.8661,653
Dadar Nagar Haveli,1,0,19,2020-06-07,,,18
Delhi,10664,761,27654,2020-06-07,28.7041,77.1025,16229
Goa,65,0,267,2020-06-07,15.2993,74.124,202
Gujarat,13316,1219,19592,2020-06-07,22.2587,71.1924,5057
Haryana,2134,24,3952,2020-06-07,29.0588,76.0856,1794
Himachal Pradesh,194,5,400,2020-06-07,31.1048,77.1734,201
Jammu and Kashmir,1126,39,3467,2020-06-07,33.7782,76.5762,2302
Jharkhand,473,7,1000,2020-06-07,23.6102,85.2799,520
Karnataka,1968,59,5213,2020-06-07,15.3173,75.7139,3186
Kerala,762,15,1807,2020-06-07,10.8505,76.2711,1030
Ladakh,48,1,99,2020-06-07,34.2996,78.2932,50
Madhya Pradesh,6108,399,9228,2020-06-07,22.9734,78.6569,2721
Maharashtra,37390,2969,82968,2020-06-07,19.7515,75.7139,42609
Manipur,52,0,157,2020-06-07,24.6637,93.9063,105
Meghalaya,13,1,33,2020-06-07,25.467,91.3662,19
Mizoram,1,0,24,2020-06-07,23.1645,92.9376,23
Nagaland,0,0,107,2020-06-07,26.1584,94.5624,107
Odisha,1716,8,2781,2020-06-07,20.9517,85.0985,1057
Puducherry,36,0,99,2020-06-07,11.9416,79.8083,63
Punjab,2092,50,2515,2020-06-07,31.1471,75.3412,373
Rajasthan,7501,231,10331,2020-06-07,27.0238,74.2179,2599
Sikkim,0,0,7,2020-06-07,,,7
Tamil Nadu,16395,251,30152,2020-06-07,11.1271,78.6569,13506
Telengana,1710,123,3496,2020-06-07,18.1124,79.0193,1663
Tripura,173,0,747,2020-06-07,23.9408,91.9882,574
Uttar Pradesh,5648,257,9733,2020-06-07,26.8467,80.9462,3828
Uttarakhand,423,11,1303,2020-06-07,30.0668,79.0193,869
West Bengal,3119,383,7738,2020-06-07,22.9868,87.855,4236
Andaman and Nicobar Islands,33,0,33,2020-06-08,11.7401,92.6586,0
Andhra Pradesh,2620,73,4510,2020-06-08,15.9129,79.74,1817
Arunachal Pradesh,1,0,47,2020-06-08,28.218000000000004,94.7278,46
Assam,547,4,2397,2020-06-08,26.2006,92.9376,1846
Bihar,2425,30,4915,2020-06-08,25.0961,85.3131,2460
Chandigarh,273,5,309,2020-06-08,30.7333,76.7794,31
Chhattisgarh,266,4,923,2020-06-08,21.2787,81.8661,653
Dadar Nagar Haveli,1,0,19,2020-06-08,,,18
Delhi,10664,761,27654,2020-06-08,28.7041,77.1025,16229
Goa,65,0,267,2020-06-08,15.2993,74.124,202
Gujarat,13316,1219,19592,2020-06-08,22.2587,71.1924,5057
Haryana,2134,24,3952,2020-06-08,29.0588,76.0856,1794
Himachal Pradesh,194,5,400,2020-06-08,31.1048,77.1734,201
Jammu and Kashmir,1126,39,3467,2020-06-08,33.7782,76.5762,2302
Jharkhand,473,7,1000,2020-06-08,23.6102,85.2799,520
Karnataka,1968,59,5213,2020-06-08,15.3173,75.7139,3186
Kerala,762,15,1807,2020-06-08,10.8505,76.2711,1030
Ladakh,48,1,99,2020-06-08,34.2996,78.2932,50
Madhya Pradesh,6108,399,9228,2020-06-08,22.9734,78.6569,2721
Maharashtra,37390,2969,82968,2020-06-08,19.7515,75.7139,42609
Manipur,52,0,157,2020-06-08,24.6637,93.9063,105
Meghalaya,13,1,33,2020-06-08,25.467,91.3662,19
Mizoram,1,0,24,2020-06-08,23.1645,92.9376,23
Nagaland,0,0,107,2020-06-08,26.1584,94.5624,107
Odisha,1716,8,2781,2020-06-08,20.9517,85.0985,1057
Puducherry,36,0,99,2020-06-08,11.9416,79.8083,63
Punjab,2092,50,2515,2020-06-08,31.1471,75.3412,373
Rajasthan,7501,231,10331,2020-06-08,27.0238,74.2179,2599
Sikkim,0,0,7,2020-06-08,,,7
Tamil Nadu,16395,251,30152,2020-06-08,11.1271,78.6569,13506
Telengana,1710,123,3496,2020-06-08,18.1124,79.0193,1663
Tripura,173,0,747,2020-06-08,23.9408,91.9882,574
Uttar Pradesh,5648,257,9733,2020-06-08,26.8467,80.9462,3828
Uttarakhand,423,11,1303,2020-06-08,30.0668,79.0193,869
West Bengal,3119,383,7738,2020-06-08,22.9868,87.855,4236
Andaman and Nicobar Islands,33,0,33,2020-06-09,11.7401,92.6586,0
Andhra Pradesh,2745,75,4851,2020-06-09,15.9129,79.74,2031
Arunachal Pradesh,1,0,51,2020-06-09,28.218000000000004,94.7278,50
Assam,665,4,2776,2020-06-09,26.2006,92.9376,2107
Bihar,2499,31,5202,2020-06-09,25.0961,85.3131,2672
Chandigarh,273,5,317,2020-06-09,30.7333,76.7794,39
Chhattisgarh,308,4,1160,2020-06-09,21.2787,81.8661,848
Dadar Nagar Haveli,2,0,22,2020-06-09,,,20
Delhi,11357,874,29943,2020-06-09,28.7041,77.1025,17712
Goa,67,0,330,2020-06-09,15.2993,74.124,263
Gujarat,13956,1280,20545,2020-06-09,22.2587,71.1924,5309
Haryana,2134,39,4854,2020-06-09,29.0588,76.0856,2681
Himachal Pradesh,227,5,421,2020-06-09,31.1048,77.1734,189
Jammu and Kashmir,1324,45,4285,2020-06-09,33.7782,76.5762,2916
Jharkhand,519,7,1256,2020-06-09,23.6102,85.2799,730
Karnataka,2519,64,5760,2020-06-09,15.3173,75.7139,3177
Kerala,814,16,2005,2020-06-09,10.8505,76.2711,1175
Ladakh,52,1,103,2020-06-09,34.2996,78.2932,50
Madhya Pradesh,6536,414,9638,2020-06-09,22.9734,78.6569,2688
Maharashtra,40975,3169,88528,2020-06-09,19.7515,75.7139,44384
Manipur,58,0,272,2020-06-09,24.6637,93.9063,214
Meghalaya,13,1,36,2020-06-09,25.467,91.3662,22
Mizoram,1,0,42,2020-06-09,23.1645,92.9376,41
Nagaland,8,0,123,2020-06-09,26.1584,94.5624,115
Odisha,1993,9,2994,2020-06-09,20.9517,85.0985,992
Puducherry,52,0,127,2020-06-09,11.9416,79.8083,75
Punjab,2128,53,2663,2020-06-09,31.1471,75.3412,482
Rajasthan,8004,246,10763,2020-06-09,27.0238,74.2179,2513
Sikkim,0,0,7,2020-06-09,,,7
Tamil Nadu,17527,286,33229,2020-06-09,11.1271,78.6569,15416
Telengana,1809,142,3742,2020-06-09,18.1124,79.0193,1791
Tripura,192,0,838,2020-06-09,23.9408,91.9882,646
Uttar Pradesh,6344,283,10947,2020-06-09,26.8467,80.9462,4320
Uttarakhand,714,13,1411,2020-06-09,30.0668,79.0193,684
West Bengal,3465,405,8613,2020-06-09,22.9868,87.855,4743
Andaman and Nicobar Islands,33,0,33,2020-06-10,11.7401,92.6586,0
Andhra Pradesh,2802,77,5070,2020-06-10,15.9129,79.74,2191
Arunachal Pradesh,1,0,57,2020-06-10,28.218000000000004,94.7278,56
Assam,1085,4,2937,2020-06-10,26.2006,92.9376,1848
Bihar,2864,32,5459,2020-06-10,25.0961,85.3131,2563
Chandigarh,286,5,323,2020-06-10,30.7333,76.7794,32
Chhattisgarh,386,6,1240,2020-06-10,21.2787,81.8661,848
Dadar Nagar Haveli,2,0,22,2020-06-10,,,20
Delhi,11861,905,31309,2020-06-10,28.7041,77.1025,18543
Goa,67,0,359,2020-06-10,15.2993,74.124,292
Gujarat,14365,1313,21014,2020-06-10,22.2587,71.1924,5336
Haryana,2134,45,5209,2020-06-10,29.0588,76.0856,3030
Himachal Pradesh,249,5,445,2020-06-10,31.1048,77.1734,191
Jammu and Kashmir,1506,48,4346,2020-06-10,33.7782,76.5762,2792
Jharkhand,559,8,1411,2020-06-10,23.6102,85.2799,844
Karnataka,2604,66,5921,2020-06-10,15.3173,75.7139,3251
Kerala,848,16,2096,2020-06-10,10.8505,76.2711,1232
Ladakh,52,1,108,2020-06-10,34.2996,78.2932,55
Madhya Pradesh,6729,420,9849,2020-06-10,22.9734,78.6569,2700
Maharashtra,42638,3289,90787,2020-06-10,19.7515,75.7139,44860
Manipur,61,0,304,2020-06-10,24.6637,93.9063,243
Meghalaya,13,1,43,2020-06-10,25.467,91.3662,29
Mizoram,1,0,88,2020-06-10,23.1645,92.9376,87
Nagaland,10,0,127,2020-06-10,26.1584,94.5624,117
Odisha,2133,9,3140,2020-06-10,20.9517,85.0985,998
Puducherry,52,0,127,2020-06-10,11.9416,79.8083,75
Punjab,2167,55,2719,2020-06-10,31.1471,75.3412,497
Rajasthan,8328,255,11245,2020-06-10,27.0238,74.2179,2662
Sikkim,0,0,13,2020-06-10,,,13
Tamil Nadu,18325,307,34914,2020-06-10,11.1271,78.6569,16282
Telengana,1809,148,3920,2020-06-10,18.1124,79.0193,1963
Tripura,192,1,864,2020-06-10,23.9408,91.9882,671
Uttar Pradesh,6669,301,11335,2020-06-10,26.8467,80.9462,4365
Uttarakhand,755,13,1537,2020-06-10,30.0668,79.0193,769
West Bengal,3620,415,8985,2020-06-10,22.9868,87.855,4950
Andaman and Nicobar Islands,33,0,34,2020-06-11,11.7401,92.6586,1
Andhra Pradesh,2899,78,5269,2020-06-11,15.9129,79.74,2292
Arunachal Pradesh,2,0,57,2020-06-11,28.218000000000004,94.7278,55
Assam,1249,4,3092,2020-06-11,26.2006,92.9376,1839
Bihar,3071,33,5710,2020-06-11,25.0961,85.3131,2606
Chandigarh,286,5,327,2020-06-11,30.7333,76.7794,36
Chhattisgarh,402,6,1262,2020-06-11,21.2787,81.8661,854
Dadra and Nagar Haveli and Daman and Diu,2,0,28,2020-06-11,,,26
Delhi,12245,984,32810,2020-06-11,28.7041,77.1025,19581
Goa,67,0,387,2020-06-11,15.2993,74.124,320
Gujarat,14735,1347,21521,2020-06-11,22.2587,71.1924,5439
Haryana,2188,52,5579,2020-06-11,29.0588,76.0856,3339
Himachal Pradesh,254,6,451,2020-06-11,31.1048,77.1734,191
Jammu and Kashmir,1671,51,4507,2020-06-11,33.7782,76.5762,2785
Jharkhand,592,8,1489,2020-06-11,23.6102,85.2799,889
Karnataka,2862,69,6041,2020-06-11,15.3173,75.7139,3110
Kerala,905,18,2161,2020-06-11,10.8505,76.2711,1238
Ladakh,52,1,115,2020-06-11,34.2996,78.2932,62
Madhya Pradesh,6892,427,10049,2020-06-11,22.9734,78.6569,2730
Maharashtra,44517,3438,94041,2020-06-11,19.7515,75.7139,46086
Manipur,63,0,311,2020-06-11,24.6637,93.9063,248
Meghalaya,13,1,44,2020-06-11,25.467,91.3662,30
Mizoram,1,0,93,2020-06-11,23.1645,92.9376,92
Nagaland,22,0,128,2020-06-11,26.1584,94.5624,106
Odisha,2282,9,3250,2020-06-11,20.9517,85.0985,959
Puducherry,53,0,127,2020-06-11,11.9416,79.8083,74
Punjab,2232,55,2805,2020-06-11,31.1471,75.3412,518
Rajasthan,8569,259,11600,2020-06-11,27.0238,74.2179,2772
Sikkim,0,0,13,2020-06-11,,,13
Tamil Nadu,19333,326,36841,2020-06-11,11.1271,78.6569,17182
Telangana,1817,156,4111,2020-06-11,,,2138
Tripura,239,1,895,2020-06-11,23.9408,91.9882,655
Uttar Pradesh,6871,321,11610,2020-06-11,26.8467,80.9462,4418
Uttarakhand,831,15,1562,2020-06-11,30.0668,79.0193,716
West Bengal,3779,432,9328,2020-06-11,22.9868,87.855,5117
Andaman and Nicobar Islands,33,0,38,2020-06-13,11.7401,92.6586,5
Andhra Pradesh,3105,80,5680,2020-06-13,15.9129,79.74,2495
Arunachal Pradesh,4,0,67,2020-06-13,28.218000000000004,94.7278,63
Assam,1537,8,3498,2020-06-13,26.2006,92.9376,1953
Bihar,3587,36,6103,2020-06-13,25.0961,85.3131,2480
Chandigarh,286,5,334,2020-06-13,30.7333,76.7794,43
Chhattisgarh,550,6,1429,2020-06-13,21.2787,81.8661,873
Dadra and Nagar Haveli and Daman and Diu,2,0,30,2020-06-13,,,28
Delhi,13398,1214,36824,2020-06-13,28.7041,77.1025,22212
Goa,69,0,463,2020-06-13,15.2993,74.124,394
Gujarat,15493,1415,22527,2020-06-13,22.2587,71.1924,5619
Haryana,2475,70,6334,2020-06-13,29.0588,76.0856,3789
Himachal Pradesh,297,6,486,2020-06-13,31.1048,77.1734,183
Jammu and Kashmir,2086,53,4730,2020-06-13,33.7782,76.5762,2591
Jharkhand,672,8,1617,2020-06-13,23.6102,85.2799,937
Karnataka,3440,79,6516,2020-06-13,15.3173,75.7139,2997
Kerala,1000,19,2322,2020-06-13,10.8505,76.2711,1303
Ladakh,62,1,239,2020-06-13,34.2996,78.2932,176
Madhya Pradesh,7201,440,10443,2020-06-13,22.9734,78.6569,2802
Maharashtra,47796,3717,101141,2020-06-13,19.7515,75.7139,49628
Manipur,77,0,385,2020-06-13,24.6637,93.9063,308
Meghalaya,22,1,44,2020-06-13,25.467,91.3662,21
Mizoram,1,0,104,2020-06-13,23.1645,92.9376,103
Nagaland,49,0,156,2020-06-13,26.1584,94.5624,107
Odisha,2474,10,3498,2020-06-13,20.9517,85.0985,1014
Puducherry,67,2,157,2020-06-13,11.9416,79.8083,88
Punjab,2282,63,2986,2020-06-13,31.1471,75.3412,641
Rajasthan,8898,272,12068,2020-06-13,27.0238,74.2179,2898
Sikkim,2,0,63,2020-06-13,,,61
Tamil Nadu,22047,367,40698,2020-06-13,11.1271,78.6569,18284
Telangana,2278,174,4484,2020-06-13,,,2032
Tripura,278,1,961,2020-06-13,23.9408,91.9882,682
Uttar Pradesh,7609,365,12616,2020-06-13,26.8467,80.9462,4642
Uttarakhand,947,21,1724,2020-06-13,30.0668,79.0193,756
West Bengal,4206,451,10244,2020-06-13,22.9868,87.855,5587
Andaman and Nicobar Islands,33,0,38,2020-06-14,11.7401,92.6586,5
Andhra Pradesh,3195,82,5965,2020-06-14,15.9129,79.74,2688
Arunachal Pradesh,4,0,87,2020-06-14,28.218000000000004,94.7278,83
Assam,1584,8,3718,2020-06-14,26.2006,92.9376,2126
Bihar,3956,39,6290,2020-06-14,25.0961,85.3131,2295
Chandigarh,286,5,345,2020-06-14,30.7333,76.7794,54
Chhattisgarh,631,6,1512,2020-06-14,21.2787,81.8661,875
Dadra and Nagar Haveli and Daman and Diu,2,0,35,2020-06-14,,,33
Delhi,14945,1271,38958,2020-06-14,28.7041,77.1025,22742
Goa,70,0,523,2020-06-14,15.2993,74.124,453
Gujarat,15883,1448,23038,2020-06-14,22.2587,71.1924,5707
Haryana,2803,78,6749,2020-06-14,29.0588,76.0856,3868
Himachal Pradesh,313,6,502,2020-06-14,31.1048,77.1734,183
Jammu and Kashmir,2269,55,4878,2020-06-14,33.7782,76.5762,2554
Jharkhand,816,8,1711,2020-06-14,23.6102,85.2799,887
Karnataka,3648,81,6824,2020-06-14,15.3173,75.7139,3095
Kerala,1046,19,2407,2020-06-14,10.8505,76.2711,1342
Ladakh,68,1,437,2020-06-14,34.2996,78.2932,368
Madhya Pradesh,7377,447,10641,2020-06-14,22.9734,78.6569,2817
Maharashtra,49346,3830,104568,2020-06-14,19.7515,75.7139,51392
Manipur,91,0,449,2020-06-14,24.6637,93.9063,358
Meghalaya,22,1,44,2020-06-14,25.467,91.3662,21
Mizoram,1,0,107,2020-06-14,23.1645,92.9376,106
Nagaland,76,0,163,2020-06-14,26.1584,94.5624,87
Odisha,2594,10,3723,2020-06-14,20.9517,85.0985,1119
Puducherry,82,2,176,2020-06-14,11.9416,79.8083,92
Punjab,2327,65,3063,2020-06-14,31.1471,75.3412,671
Rajasthan,9337,282,12401,2020-06-14,27.0238,74.2179,2782
Sikkim,4,0,63,2020-06-14,,,59
Tamil Nadu,23409,397,42687,2020-06-14,11.1271,78.6569,18881
Telangana,2352,182,4737,2020-06-14,,,2203
Tripura,315,1,1046,2020-06-14,23.9408,91.9882,730
Uttar Pradesh,7875,385,13118,2020-06-14,26.8467,80.9462,4858
Uttarakhand,1077,23,1785,2020-06-14,30.0668,79.0193,685
West Bengal,4542,463,10698,2020-06-14,22.9868,87.855,5693
Andaman and Nicobar Islands,33,0,38,2020-06-15,11.7401,92.6586,5
Andhra Pradesh,3314,84,6163,2020-06-15,15.9129,79.74,2765
Arunachal Pradesh,7,0,91,2020-06-15,28.218000000000004,94.7278,84
Assam,1960,8,4049,2020-06-15,26.2006,92.9376,2081
Bihar,4170,39,6470,2020-06-15,25.0961,85.3131,2261
Chandigarh,293,5,352,2020-06-15,30.7333,76.7794,54
Chhattisgarh,763,8,1662,2020-06-15,21.2787,81.8661,891
Dadra and Nagar Haveli and Daman and Diu,2,0,36,2020-06-15,,,34
Delhi,15823,1327,41182,2020-06-15,28.7041,77.1025,24032
Goa,74,0,564,2020-06-15,15.2993,74.124,490
Gujarat,16325,1477,23544,2020-06-15,22.2587,71.1924,5742
Haryana,3003,88,7208,2020-06-15,29.0588,76.0856,4117
Himachal Pradesh,337,7,518,2020-06-15,31.1048,77.1734,174
Jammu and Kashmir,2389,59,5041,2020-06-15,33.7782,76.5762,2593
Jharkhand,905,8,1745,2020-06-15,23.6102,85.2799,832
Karnataka,3955,86,7000,2020-06-15,15.3173,75.7139,2959
Kerala,1102,19,2461,2020-06-15,10.8505,76.2711,1340
Ladakh,80,1,549,2020-06-15,34.2996,78.2932,468
Madhya Pradesh,7677,459,10802,2020-06-15,22.9734,78.6569,2666
Maharashtra,50978,3950,107958,2020-06-15,19.7515,75.7139,53030
Manipur,91,0,458,2020-06-15,24.6637,93.9063,367
Meghalaya,25,1,44,2020-06-15,25.467,91.3662,18
Mizoram,1,0,112,2020-06-15,23.1645,92.9376,111
Nagaland,88,0,168,2020-06-15,26.1584,94.5624,80
Odisha,2708,11,3909,2020-06-15,20.9517,85.0985,1190
Puducherry,91,5,194,2020-06-15,11.9416,79.8083,98
Punjab,2356,67,3140,2020-06-15,31.1471,75.3412,717
Rajasthan,9566,292,12694,2020-06-15,27.0238,74.2179,2836
Sikkim,4,0,68,2020-06-15,,,64
Tamil Nadu,24547,435,44661,2020-06-15,11.1271,78.6569,19679
Telangana,2377,185,4974,2020-06-15,,,2412
Tripura,315,1,1076,2020-06-15,23.9408,91.9882,760
Uttar Pradesh,8268,399,13615,2020-06-15,26.8467,80.9462,4948
Uttarakhand,1111,24,1819,2020-06-15,30.0668,79.0193,684
West Bengal,5060,475,11087,2020-06-15,22.9868,87.855,5552
Andaman and Nicobar Islands,33,0,41,2020-06-16,11.7401,92.6586,8
Andhra Pradesh,3316,88,6456,2020-06-16,15.9129,79.74,3052
Arunachal Pradesh,7,0,91,2020-06-16,28.218000000000004,94.7278,84
Assam,2166,8,4158,2020-06-16,26.2006,92.9376,1984
Bihar,4409,40,6650,2020-06-16,25.0961,85.3131,2201
Chandigarh,296,6,354,2020-06-16,30.7333,76.7794,52
Chhattisgarh,890,8,1756,2020-06-16,21.2787,81.8661,858
Dadra and Nagar Haveli and Daman and Diu,5,0,36,2020-06-16,,,31
Delhi,16427,1400,42829,2020-06-16,28.7041,77.1025,25002
