States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,66,0,119,2020-07-05,11.7401,92.6586
Andhra Pradesh,8008,218,17699,2020-07-05,15.9129,79.74
Arunachal Pradesh,76,1,259,2020-07-05,28.218,94.7278
Assam,6657,14,10668,2020-07-05,26.2006,92.9376
Bihar,8686,89,11700,2020-07-05,25.0961,85.3131
Chandigarh,395,6,460,2020-07-05,30.7333,76.7794
Chhattisgarh,2549,14,3161,2020-07-05,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,96,0,271,2020-07-05,,
Delhi,68256,3004,97200,2020-07-05,28.7041,77.1025
Goa,825,6,1684,2020-07-05,15.2993,74.124
Gujarat,25406,1925,35312,2020-07-05,22.2587,71.1924
Haryana,12257,260,16548,2020-07-05,29.0588,76.0856
Himachal Pradesh,704,11,1046,2020-07-05,31.1048,77.1734
Jammu and Kashmir,5143,127,8246,2020-07-05,33.7782,76.5762
Jharkhand,2035,17,2739,2020-07-05,23.6102,85.2799
Karnataka,9244,335,21549,2020-07-05,15.3173,75.7139
Kerala,3048,25,5204,2020-07-05,10.8505,76.2711
Ladakh,826,1,1005,2020-07-05,34.2996,78.2932
Madhya Pradesh,11234,598,14604,2020-07-05,22.9734,78.6569
Maharashtra,108082,8671,200064,2020-07-05,19.7515,75.7139
Manipur,667,0,1325,2020-07-05,24.6637,93.9063
Meghalaya,43,1,62,2020-07-05,25.467,91.3662
Mizoram,130,0,164,2020-07-05,23.1645,92.9376
Nagaland,228,0,563,2020-07-05,26.1584,94.5624
Odisha,5934,34,8601,2020-07-05,20.9517,85.0985
Puducherry,331,12,802,2020-07-05,11.9416,79.8083
Punjab,4306,162,6109,2020-07-05,31.1471,75.3412
Rajasthan,15640,447,19532,2020-07-05,27.0238,74.2179
Sikkim,58,0,103,2020-07-05,,
Tamil Nadu,60592,1450,107001,2020-07-05,11.1271,78.6569
Telangana,11537,288,22312,2020-07-05,,
Tripura,1202,1,1546,2020-07-05,23.9408,91.9882
Uttarakhand,2502,42,3093,2020-07-05,30.0668,79.0193
Uttar Pradesh,18154,773,26554,2020-07-05,26.8467,80.9462
West Bengal,14166,736,21231,2020-07-05,22.9868,87.855
