States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,54,0,116,2020-07-04,11.7401,92.6586
Andhra Pradesh,7632,206,16934,2020-07-04,15.9129,79.74
Arunachal Pradesh,75,1,252,2020-07-04,28.218,94.7278
Assam,6349,14,9673,2020-07-04,26.2006,92.9376
Bihar,8214,80,10954,2020-07-04,25.0961,85.3131
Chandigarh,393,6,457,2020-07-04,30.7333,76.7794
Chhattisgarh,2437,14,3065,2020-07-04,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,96,0,257,2020-07-04,,
Delhi,65624,2923,94695,2020-07-04,28.7041,77.1025
Goa,734,4,1482,2020-07-04,15.2993,74.124
Gujarat,24933,1904,34600,2020-07-04,22.2587,71.1924
Haryana,11691,255,16003,2020-07-04,29.0588,76.0856
Himachal Pradesh,667,10,1033,2020-07-04,31.1048,77.1734
Jammu and Kashmir,5075,119,8019,2020-07-04,33.7782,76.5762
Jharkhand,2001,15,2695,2020-07-04,23.6102,85.2799
Karnataka,8805,293,19710,2020-07-04,15.3173,75.7139
Kerala,2841,25,4964,2020-07-04,10.8505,76.2711
Ladakh,777,1,1001,2020-07-04,34.2996,78.2932
Madhya Pradesh,11049,593,14297,2020-07-04,22.9734,78.6569
Maharashtra,104687,8376,192990,2020-07-04,19.7515,75.7139
Manipur,639,0,1316,2020-07-04,24.6637,93.9063
Meghalaya,43,1,62,2020-07-04,25.467,91.3662
Mizoram,126,0,162,2020-07-04,23.1645,92.9376
Nagaland,228,0,539,2020-07-04,26.1584,94.5624
Odisha,5705,29,8106,2020-07-04,20.9517,85.0985
Puducherry,331,12,802,2020-07-04,11.9416,79.8083
Punjab,4266,157,5937,2020-07-04,31.1471,75.3412
Rajasthan,15281,440,19052,2020-07-04,27.0238,74.2179
Sikkim,53,0,102,2020-07-04,,
Tamil Nadu,58378,1385,102721,2020-07-04,11.1271,78.6569
Telangana,10195,283,20462,2020-07-04,,
Tripura,1199,1,1525,2020-07-04,23.9408,91.9882
Uttarakhand,2481,42,3048,2020-07-04,30.0668,79.0193
Uttar Pradesh,17597,749,25797,2020-07-04,26.8467,80.9462
West Bengal,13571,717,20488,2020-07-04,22.9868,87.855
