Candidate,Party,Criminal Cases,Education,Age,Total Assets,Constituency,Liabilities,Winner,Gender
Bishnu Pada Ray,BJP,1,Graduate,64,5658980,ANDAMAN AND NICOBAR ISLANDS,175115,0.0,M
A Pandian,AIFB,0,12th Pass,41,859410,ANDAMAN AND NICOBAR ISLANDS,350000,0.0,M
Anita Mondal,AITC,1,Graduate,48,5471073,ANDAMAN AND NICOBAR ISLANDS,6000,0.0,M
C G Saji Kumar,IND,0,12th Pass,41,50000,ANDAMAN AND NICOBAR ISLANDS,0,0.0,M
Gaur Chandra Majumder,BSP,0,Graduate,47,3192819,ANDAMAN AND NICOBAR ISLANDS,688689,0.0,M
K.G.Das,CPI(M),0,12th Pass,70,4221392,ANDAMAN AND NICOBAR ISLANDS,0,0.0,M
Kuldeep Rai Sharma,INC,0,Graduate Professional,46,31594826,ANDAMAN AND NICOBAR ISLANDS,5034619,0.0,M
N K P Nair,CPI(ML)L,0,10th Pass,59,5287805,ANDAMAN AND NICOBAR ISLANDS,43642,0.0,M
N Kannan,IND,0,8th Pass,35,32400,ANDAMAN AND NICOBAR ISLANDS,549313,0.0,M
Prakash Minj,IND,0,Post Graduate,38,308000,ANDAMAN AND NICOBAR ISLANDS,0,0.0,M
R.S.Uma Bharatthy,NCP,0,Post Graduate,49,1380999,ANDAMAN AND NICOBAR ISLANDS,253000,0.0,M
Raghubir Singh,SP,1,8th Pass,49,1128697,ANDAMAN AND NICOBAR ISLANDS,20000,0.0,M
Sanjay Meshack,AAP,0,10th Pass,43,57497526,ANDAMAN AND NICOBAR ISLANDS,633088,0.0,M
Saravanan,IND,0,Graduate,38,236000,ANDAMAN AND NICOBAR ISLANDS,0,0.0,M
V V Khalid,IND,0,8th Pass,46,235000,ANDAMAN AND NICOBAR ISLANDS,0,0.0,M
Pandula Ravindra Babu,TDP,0,Graduate Professional,58,27131000,AMALAPURAM,3000000,0.0,M
Aithabathula Jogeswara Venkata Butchi Maheswara Rao,INC,1,Post Graduate,63,12625844,AMALAPURAM,2504500,0.0,M
Bunga Bhaskararao,IND,0,12th Pass,65,2905000,AMALAPURAM,100000,0.0,M
Geddam Sampada Rao,BSP,1,Graduate Professional,44,1174000,AMALAPURAM,100000,0.0,M
Kasi Chandramouli S/O Satyanandam,IND,0,Post Graduate,28,46513,AMALAPURAM,0,0.0,M
Konki Venkata Rao,Republican Paksha (Khoripa),0,Others,53,31500,AMALAPURAM,5000,0.0,M
Kunche Peda Satyanarayana,Pyramid Party of India,0,5th Pass,43,1240000,AMALAPURAM,140000,0.0,M
Satyavathi Kommu,IND,0,Illiterate,41,1399700,AMALAPURAM,0,0.0,M
Undru Gani Raju,IND,1,Post Graduate,32,31721,AMALAPURAM,0,0.0,M
Vaddi Winston Churchil,IND,0,12th Pass,46,295000,AMALAPURAM,0,0.0,M
Vijaya Chakravarthy Panthagada,Republican Party of India (Khobragade),0,Post Graduate,61,520000,AMALAPURAM,0,0.0,M
Vijaya Harsha Kumar Geddam,Jai Samaikyandhra Party,2,Post Graduate,54,11384157,AMALAPURAM,4050000,0.0,M
Viswarupu Pinipe,Yuvajana Sramika Rythu Congress Party,1,Graduate Professional,51,28990944,AMALAPURAM,7977496,0.0,M
